scenario,sample_id,P01_R1,P01_R2,P01_R3,P01_R4,P01_R5,P01_R6,P02_R1,P02_R2,P02_R3,P02_R4,P02_R5,P02_R6,P03_R1,P03_R2,P03_R3,P03_R4,P03_R5,P03_R6,P04_R1,P04_R2,P04_R3,P04_R4,P04_R5,P04_R6,P05_R1,P05_R2,P05_R3,P05_R4,P05_R5,P05_R6,P06_R1,P06_R2,P06_R3,P06_R4,P06_R5,P06_R6,P07_R1,P07_R2,P07_R3,P07_R4,P07_R5,P07_R6,P08_R1,P08_R2,P08_R3,P08_R4,P08_R5,P08_R6,P09_R1,P09_R2,P09_R3,P09_R4,P09_R5,P09_R6,P10_R1,P10_R2,P10_R3,P10_R4,P10_R5,P10_R6,P11_R1,P11_R2,P11_R3,P11_R4,P11_R5,P11_R6,P12_R1,P12_R2,P12_R3,P12_R4,P12_R5,P12_R6,P13_R1,P13_R2,P13_R3,P13_R4,P13_R5,P13_R6,P14_R1,P14_R2,P14_R3,P14_R4,P14_R5,P14_R6,P15_R1,P15_R2,P15_R3,P15_R4,P15_R5,P15_R6,P16_R1,P16_R2,P16_R3,P16_R4,P16_R5,P16_R6,P17_R1,P17_R2,P17_R3,P17_R4,P17_R5,P17_R6,P18_R1,P18_R2,P18_R3,P18_R4,P18_R5,P18_R6
1,0,25,8,8,9,1,0,38,13,30,12,0,0,12,4,5,3,0,0,17,6,19,6,0,0,11,4,5,4,0,0,18,6,20,6,0,0,11,4,5,4,0,0,18,7,20,6,0,0,13,4,5,3,0,0,17,6,20,6,0,0,12,4,5,4,0,0,18,6,20,5,0,0,12,4,5,4,0,0,19,6,19,6,0,0,24,9,0,8,0,7,33,13,0,14,0,7,37,11,0,12,0,7,51,13,0,17,0,0
1,1,24,8,7,8,1,0,35,11,29,13,0,0,12,4,5,4,0,0,19,6,20,6,0,0,11,4,5,4,0,0,18,6,20,6,0,0,11,4,5,5,0,0,18,6,20,5,0,0,12,4,6,4,0,0,18,6,19,6,0,0,13,4,5,4,0,0,17,6,21,6,0,0,12,4,5,3,0,0,18,6,20,6,0,0,26,7,0,8,0,7,36,14,0,10,0,7,38,10,0,10,0,7,49,16,0,15,0,0
2,0,24,8,8,8,1,0,35,13,31,11,0,0,13,4,5,5,0,0,18,6,19,6,0,0,12,4,5,4,0,0,18,6,20,7,0,0,12,4,5,4,0,0,18,6,20,6,0,0,11,3,5,4,0,0,18,6,20,6,0,0,11,4,5,4,0,0,18,6,21,6,0,0,11,4,5,4,0,0,18,7,20,6,0,0,25,8,0,8,0,7,36,11,0,12,0,5,37,10,0,11,0,7,46,15,0,17,0,0
2,1,24,8,7,9,1,0,36,12,31,11,0,0,12,4,5,4,0,0,18,6,20,7,0,0,12,4,5,5,0,0,19,5,20,6,0,0,12,4,5,4,0,0,18,5,19,6,0,0,11,5,5,4,0,0,18,6,19,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,5,5,5,0,0,17,6,20,6,0,0,23,8,0,8,0,9,37,11,0,13,0,7,37,11,0,11,0,7,48,16,0,18,0,0
3,0,25,8,7,9,1,0,38,12,31,12,0,0,24,8,8,8,1,0,35,11,31,13,0,0,12,4,5,4,0,0,18,6,21,6,0,0,11,4,5,4,0,0,17,6,20,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,13,4,5,4,0,0,18,6,20,6,0,0,12,5,5,4,0,0,18,6,20,6,0,0,24,7,0,8,0,9,38,15,0,11,0,7,41,11,0,11,0,5,47,15,0,16,0,0
3,1,27,9,7,7,1,0,39,13,30,11,0,0,26,8,8,7,1,0,36,12,31,11,0,0,12,4,5,4,0,0,17,5,21,6,0,0,12,5,5,4,0,0,18,7,21,6,0,0,13,4,5,4,0,0,18,6,19,6,0,0,11,4,5,5,0,0,18,7,19,5,0,0,12,4,5,3,0,0,18,6,20,6,0,0,23,8,0,7,0,9,34,13,0,11,0,7,34,11,0,10,0,7,47,16,0,16,0,0
4,0,25,9,7,8,1,0,34,13,32,12,0,0,12,4,6,4,0,0,18,6,19,6,0,0,11,4,5,4,0,0,19,6,20,6,0,0,24,7,8,8,1,0,35,11,31,13,0,0,11,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,4,4,4,0,0,18,6,19,5,0,0,45,16,0,16,0,9,33,12,0,10,0,7,34,11,0,13,0,7,46,17,0,18,0,0
4,1,23,8,7,8,1,0,36,13,30,12,0,0,12,4,5,4,0,0,18,6,21,6,0,0,12,4,5,3,0,0,17,5,20,6,0,0,26,8,7,9,1,0,37,11,31,12,0,0,12,4,6,4,0,0,18,6,19,6,0,0,11,4,5,4,0,0,18,6,20,6,0,0,11,4,5,4,0,0,17,6,21,6,0,0,52,15,0,14,0,10,37,12,0,12,0,8,36,12,0,13,0,7,46,17,0,19,0,0
5,0,39,11,9,12,2,0,50,20,40,18,0,0,23,7,8,8,0,0,34,11,30,13,0,0,24,7,7,8,0,0,32,12,30,12,0,0,13,4,5,4,0,0,20,6,20,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,5,4,4,0,0,19,5,20,6,0,0,11,4,5,5,0,0,19,6,20,6,0,0,23,8,0,7,0,8,35,13,0,13,0,7,34,13,0,13,0,7,45,17,0,16,0,0
5,1,38,11,9,10,2,0,58,16,42,18,0,0,24,8,8,8,0,0,38,12,30,12,0,0,24,8,7,7,0,0,37,12,30,12,0,0,12,4,5,4,0,0,17,6,19,6,0,0,12,4,5,5,0,0,19,5,19,6,0,0,12,4,5,4,0,0,17,6,19,6,0,0,11,4,5,4,0,0,20,6,20,6,0,0,25,8,0,8,0,8,38,11,0,12,0,6,40,13,0,11,0,7,49,14,0,15,0,0
6,0,36,13,10,11,2,0,55,19,41,18,0,0,24,7,8,8,0,0,36,11,29,13,0,0,24,8,8,8,0,0,37,12,30,12,0,0,23,8,8,8,0,0,38,11,30,12,0,0,26,8,8,7,0,0,36,13,30,13,0,0,23,9,9,8,0,0,35,13,32,12,0,0,23,8,7,7,0,0,35,11,30,12,0,0,51,15,0,17,0,9,56,16,0,19,0,8,55,23,0,17,0,7,70,23,0,26,0,0
6,1,35,11,10,11,2,0,51,20,42,17,0,0,23,8,8,8,0,0,39,12,29,11,0,0,23,8,8,8,0,0,36,12,31,14,0,0,23,8,8,8,0,0,39,12,30,12,0,0,26,9,8,9,0,0,38,13,31,12,0,0,24,9,7,8,0,0,35,12,31,12,0,0,24,7,8,8,0,0,39,12,30,12,0,0,51,16,0,16,0,9,53,18,0,20,0,7,52,20,0,15,0,7,77,24,0,23,0,0
7,0,33,10,10,11,2,0,55,17,38,19,0,0,37,12,11,11,2,0,54,18,40,18,0,0,22,9,7,9,0,0,36,12,31,12,0,0,25,9,8,8,0,0,36,13,29,13,0,0,24,7,8,8,0,0,37,12,30,11,0,0,23,6,7,9,0,0,37,12,29,12,0,0,24,7,8,9,0,0,36,12,30,11,0,0,71,23,0,22,0,11,56,17,0,19,0,8,54,17,0,19,0,8,74,26,0,23,0,0
