Day,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.08,0.1,0.15,0.12,0.08,0.12,0.08,0.07,0.07,0.05,0.03,0.03,0.01,0.01
2,0.06,0.0813,0.0859,0.0748,0.0755,0.0915,0.0904,0.0803,0.07,0.0681,0.0644,0.0625,0.05,0.0453
3,0.0477,0.0659,0.0719,0.0632,0.0657,0.082,0.0886,0.0803,0.0741,0.0796,0.0752,0.0783,0.0649,0.0627
4,0.0424,0.0597,0.0663,0.0585,0.061,0.0776,0.0874,0.0804,0.0759,0.0844,0.0795,0.085,0.0714,0.0705
5,0.0402,0.0571,0.0639,0.0565,0.0589,0.0757,0.0868,0.0804,0.0767,0.0864,0.0813,0.0879,0.0742,0.0738
6,0.0392,0.056,0.0629,0.0557,0.0581,0.0748,0.0866,0.0805,0.077,0.0873,0.0821,0.0891,0.0754,0.0752
7,0.0388,0.0556,0.0625,0.0553,0.0577,0.0745,0.0865,0.0805,0.0772,0.0877,0.0824,0.0896,0.0759,0.0758
8,0.0387,0.0554,0.0623,0.0552,0.0575,0.0743,0.0864,0.0805,0.0772,0.0878,0.0825,0.0898,0.0762,0.0761
9,0.0386,0.0553,0.0622,0.0551,0.0575,0.0743,0.0864,0.0805,0.0773,0.0879,0.0826,0.0899,0.0763,0.0762
10,0.0386,0.0552,0.0622,0.0551,0.0574,0.0743,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0762
11,0.0386,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
12,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
13,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
14,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
15,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
16,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
17,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
18,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
19,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
20,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
21,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
22,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
23,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
24,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
25,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
26,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
27,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
28,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
29,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
30,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
